"code" "year" "gdp"
"448" 226 2008 0.0613281957062056
"449" 226 2013 -0.396762506066114
"450" 226 2018 -1.12307317570121
"451" 232 1978 NA
"452" 232 1983 NA
"453" 232 1988 -0.230901584056427
"454" 232 1993 -0.381313095149988
"455" 232 1998 -0.250920996012562
"456" 232 2003 -0.230860880596955
"457" 232 2008 0.240129842051282
"458" 232 2013 0.366067947221521
"459" 232 2018 0.487798766543128
"460" 233 1978 NA
"461" 233 1983 NA
"462" 233 1988 NA
"463" 233 1993 NA
"464" 233 1998 NA
"465" 233 2003 NA
"466" 233 2008 NA
"467" 233 2013 NA
"468" 233 2018 NA
"469" 231 1978 NA
"470" 231 1983 NA
"471" 231 1988 -0.230901584056427
"472" 231 1993 -0.381313095149988
"473" 231 1998 -0.250920996012562
"474" 231 2003 -0.230860880596955
"475" 231 2008 0.240129842051282
"476" 231 2013 0.366067947221521
"477" 231 2018 0.487798766543128
"478" 242 1978 0.140153439558008
"479" 242 1983 -0.15911859311096
"480" 242 1988 -0.160704334838854
"481" 242 1993 0.014308701740257
"482" 242 1998 -0.0641883684230982
"483" 242 2003 -0.173435786356089
"484" 242 2008 -0.0632919409590234
"485" 242 2013 0.231967369625783
"486" 242 2018 0.234309512763977
"487" 250 1978 NA
"488" 250 1983 NA
"489" 250 1988 NA
"490" 250 1993 NA
"491" 250 1998 NA
"492" 250 2003 NA
"493" 250 2008 NA
"494" 250 2013 NA
"495" 250 2018 NA
"496" 266 1978 NA
"497" 266 1983 NA
"498" 266 1988 -0.341649240956574
"499" 266 1993 -0.00799862597595302
"500" 266 1998 -0.100247614405726
"501" 266 2003 0.21377661664214
"502" 266 2008 0.382626599803822
"503" 266 2013 -0.0687503791637222
"504" 266 2018 -0.0777573559439866
"505" 270 1978 NA
"506" 270 1983 NA
"507" 270 1988 NA
"508" 270 1993 NA
"509" 270 1998 NA
"510" 270 2003 0.0933187500263524
"511" 270 2008 0.0727149642017401
"512" 270 2013 -0.105699073136962
"513" 270 2018 -0.0603346410911306
"514" 268 1978 NA
"515" 268 1983 NA
"516" 268 1988 NA
"517" 268 1993 NA
"518" 268 1998 NA
"519" 268 2003 NA
"520" 268 2008 NA
"521" 268 2013 NA
"522" 268 2018 0
"523" 276 1978 NA
"524" 276 1983 NA
"525" 276 1988 NA
"526" 276 1993 NA
"527" 276 1998 NA
"528" 276 2003 NA
"529" 276 2008 NA
"530" 276 2013 NA
"531" 276 2018 NA
"532" 288 1978 -0.180087958781168
"533" 288 1983 -0.277977974919314
"534" 288 1988 -0.0357190239082788
"535" 288 1993 -0.0181051453774148
"536" 288 1998 -0.0308267413063103
"537" 288 2003 0.0489774447577168
"538" 288 2008 0.145197917685074
"539" 288 2013 0.366354735911207
"540" 288 2018 -0.0178132540615121
"541" 300 1978 0.0594118291440735
"542" 300 1983 -0.0594118291440735
"543" 300 1988 NA
"544" 300 1993 NA
"545" 300 1998 NA
"546" 300 2003 NA
"547" 300 2008 NA
"548" 300 2013 NA
"549" 300 2018 NA
"550" 308 1978 0.163592722137502
"551" 308 1983 -0.217093248346712
"552" 308 1988 0.0682096333977987
"553" 308 1993 0.120044805477531
"554" 308 1998 0.00672512353581411
"555" 308 2003 -0.0230815591109316
"556" 308 2008 0.0162739326497844
"557" 308 2013 -0.159395534038072
"558" 308 2018 0.0247241242972853
"559" 312 1978 NA
"560" 312 1983 NA
"561" 312 1988 NA
"562" 312 1993 NA
"563" 312 1998 NA
"564" 312 2003 NA
"565" 312 2008 NA
"566" 312 2013 -0.0440265268004183
"567" 312 2018 0.0440265268004183
"568" 316 1978 NA
"569" 316 1983 NA
"570" 316 1988 NA
"571" 316 1993 NA
"572" 316 1998 NA
"573" 316 2003 NA
"574" 316 2008 -0.064866990903693
"575" 316 2013 0.0370733560058398
"576" 316 2018 0.0277936348978532
"577" 320 1978 0.0344049036930165
"578" 320 1983 -0.0834291165519473
"579" 320 1988 -0.157650044393743
"580" 320 1993 -0.0087425984886392
"581" 320 1998 0.057543822154958
"582" 320 2003 0.0203832405411111
"583" 320 2008 0.0573262740834577
"584" 320 2013 0.0893397508092482
"585" 320 2018 -0.00917623184746158
"586" 324 1978 NA
"587" 324 1983 NA
"588" 324 1988 NA
"589" 324 1993 0.0338634193818361
"590" 324 1998 0.0623365407013757
"591" 324 2003 -0.246043815745279
"592" 324 2008 -0.150158465087527
"593" 324 2013 0.12643520119143
"594" 324 2018 0.173567119558165
"595" 624 1978 NA
"596" 624 1983 NA
"597" 624 1988 NA
"598" 624 1993 0.0353509771177467
"599" 624 1998 0.0462781044969097
"600" 624 2003 -0.0677847678709353
"601" 624 2008 -0.153526340141153
"602" 624 2013 -0.0468156036103299
"603" 624 2018 0.186497630007761
"604" 328 1978 -0.0333522560587873
"605" 328 1983 -0.290396625323156
"606" 328 1988 -0.276958511576835
"607" 328 1993 -0.100316834304816
"608" 328 1998 0.173699014976268
"609" 328 2003 0.101546691065863
"610" 328 2008 0.335916670909027
"611" 328 2013 0.0932517235411828
"612" 328 2018 -0.00338987322874593
"613" 332 1978 NA
"614" 332 1983 NA
"615" 332 1988 -0.029306969170708
"616" 332 1993 -0.196622422957337
"617" 332 1998 0.235178161247277
"618" 332 2003 0.128923327157158
"619" 332 2008 -0.0836223826596284
"620" 332 2013 -0.0291517619289789
"621" 332 2018 -0.0253979516877828
"622" 340 1978 0.087434571899194
"623" 340 1983 -0.0925239296000479
"624" 340 1988 -0.0520813238123262
"625" 340 1993 -0.0402078071226247
"626" 340 1998 -0.0340404254296255
"627" 340 2003 -0.0683357017879667
"628" 340 2008 0.0388379545771189
"629" 340 2013 0.032667683428557
"630" 340 2018 0.128248977847721
"631" 344 1978 0
"632" 344 1983 NA
"633" 344 1988 NA
"634" 344 1993 NA
"635" 344 1998 NA
"636" 344 2003 NA
"637" 344 2008 NA
"638" 344 2013 NA
"639" 344 2018 NA
"640" 348 1978 0
"641" 348 1983 NA
"642" 348 1988 NA
"643" 348 1993 NA
"644" 348 1998 NA
"645" 348 2003 NA
"646" 348 2008 NA
"647" 348 2013 NA
"648" 348 2018 NA
"649" 356 1978 -0.189822940585345
"650" 356 1983 -0.34828328606813
"651" 356 1988 -0.159247878872821
"652" 356 1993 0.00401372785074144
"653" 356 1998 0.0600464557777643
"654" 356 2003 0.0622040608440111
"655" 356 2008 0.270377437275141
"656" 356 2013 0.240885146163334
"657" 356 2018 0.0598272776153046
"658" 360 1978 0.133054396558542
"659" 360 1983 0.164446708236823
"660" 360 1988 -0.177096565289508
"661" 360 1993 0.0520498821191182
"662" 360 1998 -0.0881017569233502
"663" 360 2003 -0.421452794915731
"664" 360 2008 0.0939613437587061
"665" 360 2013 0.417196506744364
"666" 360 2018 -0.174057720288963
"667" 364 1978 NA
"668" 364 1983 NA
"669" 364 1988 -0.400120646433591
"670" 364 1993 0.245782954307328
"671" 364 1998 0.377893710598193
"672" 364 2003 0.0652712817292266
"673" 364 2008 NA
"674" 364 2013 NA
"675" 364 2018 -0.288827300201157
"676" 368 1978 0.402558791561944
"677" 368 1983 -0.152606451407524
"678" 368 1988 -0.219620451202131
"679" 368 1993 -0.59424807216514
"680" 368 1998 0.140180398691626
"681" 368 2003 0.0725529840678187
"682" 368 2008 0.172986409562492
"683" 368 2013 0.613468624967429
"684" 368 2018 -0.435272234076515
"685" 372 1978 0.0466799682144573
"686" 372 1983 0.00777934151641861
"687" 372 1988 0.00544762890063329
"688" 372 1993 0.0897937692925752
"689" 372 1998 NA
"690" 372 2003 NA
"691" 372 2008 NA
"692" 372 2013 -0.149700707924084
"693" 372 2018 NA
"694" 376 1978 -0.0334169854478549
"695" 376 1983 -0.0439855626776605
"696" 376 1988 -0.0300039772014848
"697" 376 1993 0.0981420033858912
"698" 376 1998 0.159794427704505
"699" 376 2003 -0.00798080368076215
"700" 376 2008 -0.172905622110525
"701" 376 2013 0.0183229296327306
"702" 376 2018 0.0120335903951598
"703" 380 1978 0
"704" 380 1983 NA
"705" 380 1988 NA
"706" 380 1993 NA
"707" 380 1998 NA
"708" 380 2003 NA
"709" 380 2008 NA
"710" 380 2013 NA
"711" 380 2018 NA
"712" 388 1978 -0.138004220173059
"713" 388 1983 -0.321131317613428
"714" 388 1988 0.0146924309365092
"715" 388 1993 0.165237672501136
"716" 388 1998 0.067603364695465
"717" 388 2003 0.0939911236884101
"718" 388 2008 0.117610945964967
"719" 388 2013 NA
"720" 388 2018 NA
"721" 392 1978 NA
"722" 392 1983 NA
"723" 392 1988 NA
"724" 392 1993 NA
"725" 392 1998 NA
"726" 392 2003 NA
"727" 392 2008 NA
"728" 392 2013 NA
"729" 392 2018 NA
"730" 400 1978 -0.0821453483627304
"731" 400 1983 0.214122569488692
"732" 400 1988 -0.138091799592575
"733" 400 1993 -0.399987027028225
"734" 400 1998 -0.0804331955308846
"735" 400 2003 0.0370193780879428
"736" 400 2008 0.445437586733491
"737" 400 2013 0.265482282776032
"738" 400 2018 -0.261404446571743
"739" 398 1978 NA
"740" 398 1983 NA
"741" 398 1988 NA
"742" 398 1993 NA
"743" 398 1998 -0.649469369667648
"744" 398 2003 0.139783043078167
"745" 398 2008 0.351512923288767
"746" 398 2013 0.348370321102483
"747" 398 2018 -0.190196917801769
"748" 404 1978 -0.00497532536414408
"749" 404 1983 -0.0975719404915811
"750" 404 1988 -0.0426494402890256
"751" 404 1993 -0.0820212132529044
"752" 404 1998 -0.0750932717895966
"753" 404 2003 -0.198472788006816
"754" 404 2008 -0.00406411212722677
"755" 404 2013 0.171716639187605
"756" 404 2018 0.33313145213369
"757" 296 1978 NA
"758" 296 1983 NA
"759" 296 1988 NA
"760" 296 1993 NA
"761" 296 1998 NA
"762" 296 2003 NA
"763" 296 2008 -0.064866990903693
"764" 296 2013 0.0370733560058398
"765" 296 2018 0.0277936348978532
"766" 414 1978 0.256132361358869
"767" 414 1983 -0.25689400245492
"768" 414 1988 -0.461867848373439
"769" 414 1993 0.173116858291122
"770" 414 1998 0.159800021032284
"771" 414 2003 -0.0639706484027208
"772" 414 2008 0.688134328175766
"773" 414 2013 -0.0849033542320553
"774" 414 2018 -0.409547715394905
"775" 417 1978 NA
"776" 417 1983 NA
"777" 417 1988 NA
"778" 417 1993 NA
"779" 417 1998 -0.610589737818822
"780" 417 2003 -0.172988438616644
"781" 417 2008 0.14769763403173
"782" 417 2013 0.384670358026122
"783" 417 2018 0.251210184377615
"784" 418 1978 NA
"785" 418 1983 NA
"786" 418 1988 -0.224962578650447
"787" 418 1993 -0.155067577921426
"788" 418 1998 -0.0894738584926228
"789" 418 2003 0.0244614071035016
"790" 418 2008 0.165048985542886
"791" 418 2013 0.24673644922282
"792" 418 2018 0.0332571731952895
"793" 428 1978 NA
"794" 428 1983 NA
"795" 428 1988 0
"796" 428 1993 NA
"797" 428 1998 NA
"798" 428 2003 NA
"799" 428 2008 NA
"800" 428 2013 NA
"801" 428 2018 NA
"802" 422 1978 -0.649357345622432
"803" 422 1983 -0.0662359070583517
"804" 422 1988 -0.00646799394128786
"805" 422 1993 -0.315556282329553
"806" 422 1998 0.106539870934517
"807" 422 2003 0.472710804656053
"808" 422 2008 0.486982474698985
"809" 422 2013 0.00222196744599829
"810" 422 2018 -0.0308375887839292
"811" 426 1978 NA
"812" 426 1983 -0.245683022842486
"813" 426 1988 -0.112676333714126
"814" 426 1993 0.0719543496503673
"815" 426 1998 0.124528733261261
"816" 426 2003 0.100792057248439
"817" 426 2008 0.0735561730772203
"818" 426 2013 0.0417775093529756
"819" 426 2018 -0.0542494660336509
"820" 430 1978 NA
"821" 430 1983 -0.286167540489283
"822" 430 1988 -0.195281453015738
"823" 430 1993 -0.622906925601186
"824" 430 1998 -0.342684978220276
"825" 430 2003 0.907912687506884
"826" 430 2008 -0.131484464683574
"827" 430 2013 0.144831201274884
"828" 430 2018 0.525781473228288
"829" 434 1978 0.188978485801774
"830" 434 1983 -0.308971588295992
"831" 434 1988 -0.383224004018124
"832" 434 1993 0.0415905681396989
"833" 434 1998 0.22577433504329
"834" 434 2003 0.302150457149226
"835" 434 2008 0.723420475473216
"836" 434 2013 -0.247456683579101
"837" 434 2018 -0.542262045713989
"838" 440 1978 NA
"839" 440 1983 NA
"840" 440 1988 NA
"841" 440 1993 NA
"842" 440 1998 NA
"843" 440 2003 NA
"844" 440 2008 NA
"845" 440 2013 NA
"846" 440 2018 NA
"847" 450 1978 -0.147780431534693
"848" 450 1983 -0.0724273347084966
"849" 450 1988 0.0840399759633217
"850" 450 1993 -0.193325697952922
"851" 450 1998 -0.0365792146209182
"852" 450 2003 0.0815766890045087
"853" 450 2008 0.107859327119055
"854" 450 2013 0.18605226665915
"855" 450 2018 -0.00941557992900589
"856" 454 1978 NA
"857" 454 1983 NA
"858" 454 1988 -0.0225155194852179
"859" 454 1993 -0.132314411191333
"860" 454 1998 0.0558074082033316
"861" 454 2003 -0.079440100895298
"862" 454 2008 0.289510140994384
"863" 454 2013 -0.0993892761792693
"864" 454 2018 -0.011658241446598
"865" 458 1978 0.11937733040115
"866" 458 1983 0.0635878707264164
"867" 458 1988 -0.202781613088716
"868" 458 1993 0.101014556510362
"869" 458 1998 0.120754549735415
"870" 458 2003 -0.113618356036369
"871" 458 2008 0.0603371652188938
"872" 458 2013 0.0010571463727721
"873" 458 2018 -0.149728649839923
"874" 462 1978 NA
"875" 462 1983 NA
"876" 462 1988 0.0114673254962713
"877" 462 1993 0.0325031090302543
"878" 462 1998 -0.0485584675390116
"879" 462 2003 0.0615839652227648
"880" 462 2008 0.10200556893968
"881" 462 2013 -0.159001501149959
"882" 462 2018 NA
"883" 466 1978 NA
"884" 466 1983 NA
"885" 466 1988 NA
"886" 466 1993 -0.221209729250656
"887" 466 1998 0.39266682612769
"888" 466 2003 0.0115812928397264
"889" 466 2008 -0.087077813122483
